1944,0.2,0.07,66.632909,439.646518,1885.498034,2612.590149,53.866373,39.678416
1945,0.09,0.04,67.527186,327.266803,1229.37812,2520.571489,54.137152,38.314307
1946,-0.07,0,68.159365,316.150627,1652.12328,2429.43788,118.776011,40.952299
1947,-0.03,-0.04,67.934744,378.617576,1901.878307,2667.274753,62.107071,43.46518
1948,-0.11,-0.07,71.733138,376.320437,2049.858405,2780.436842,69.504089,43.922526
1949,-0.11,-0.08,77.323523,463.715087,2235.761924,2348.373958,70.824633,43.25547
1950,-0.17,-0.08,93.422858,483.824105,2375.472717,2733.342719,112.569753,63.714413
1951,-0.07,-0.07,99.82911,463.903999,2621.723173,2825.300453,131.276173,67.686754
1952,0.01,-0.07,108.845738,514.485839,2704.892257,2756.91873,141.463469,70.254297
1953,0.08,-0.07,110.770471,551.230489,2781.872541,2818.741987,140.631958,68.666774
1954,-0.13,-0.07,116.11661,604.140401,2959.523259,2699.395394,151.041453,77.700743
1955,-0.14,-0.06,128.014333,688.506889,3221.77643,2948.26208,170.065749,81.151547
1956,-0.19,-0.05,133.458154,764.204842,3432.150071,3102.878956,184.167718,84.276196
1957,0.05,-0.04,139.890794,859.784074,3578.929816,3086.462504,192.903299,86.297625
1958,0.06,-0.01,147.740255,1155.150022,3616.394564,3007.764211,178.736493,88.946073
1959,0.03,0.01,147.291622,1391.688249,3697.119576,3095.440095,196.974221,95.053307
1960,-0.03,0.03,156.072533,1537.333755,3922.56203,3170.526173,199.140547,100.97338
1961,0.06,0.01,161.437399,1392.745886,4057.29367,3165.343055,201.768416,103.676995
1962,0.03,-0.01,165.748639,1342.001493,4283.702,3289.052335,215.648163,107.208883
1963,0.05,-0.03,175.711973,1422.834012,4585.591446,3421.417822,219.4071,114.488152
1964,-0.2,-0.04,192.866211,1504.579921,4794.557141,3599.679594,230.187946,124.048756
1965,-0.11,-0.05,212.38128,1647.628176,4947.53055,3751.276784,240.143068,136.725214
1966,-0.06,-0.06,219.642127,1793.735504,5096.379845,3935.714758,252.038604,136.76221
1967,-0.02,-0.05,235.458638,1822.724451,5209.739871,4104.555941,267.374941,145.474846
1968,-0.08,-0.03,255.328551,2013.832743,5453.54679,4267.21255,287.652213,151.161138
1969,0.05,-0.02,275.721247,2284.989516,5756.083035,4475.61072,311.279564,159.429093
1970,0.03,0,300.015147,2687.709748,6045.415021,4834.354471,337.868431,165.832813
1971,-0.08,0,329.025572,2946.190321,6262.974566,4889.577398,346.561201,172.155627
1972,0.01,0,348.810055,3113.379422,6488.318055,5135.282106,362.554946,177.756723
1973,0.16,0,374.808786,3343.167791,6790.854219,5360.832329,392.633205,194.303361
1974,-0.07,0.01,384.914443,3403.688634,6808.281766,5210.613378,416.448761,196.72694
1975,-0.01,0.02,383.059311,3572.919154,6832.365703,5041.183779,411.854544,199.432118
1976,-0.1,0.04,415.982181,3804.977537,7223.222173,5275.202729,419.127015,198.481031
1977,0.18,0.07,428.724012,4050.019745,7269.89013,5426.411579,434.526142,213.2695
1978,0.07,0.12,457.371088,4231.363859,7504.062054,5609.705942,460.923751,224.622802
1979,0.16,0.16,493.307693,4405.052062,7703.471232,5668.553045,493.699036,226.518794
1980,0.26,0.2,529.785798,4404.028289,7702.812808,5519.748786,507.911147,243.570962
1981,0.32,0.21,544.44179,4377.357663,7423.119264,5330.215733,488.843963,252.14004
1982,0.14,0.22,565.904633,4526.763548,7363.770018,5107.996751,490.141998,257.231063
1983,0.31,0.21,589.922307,4708.334065,7372.644157,5103.932784,485.344266,247.790711
1984,0.16,0.21,643.996008,4980.521798,7417.87486,5254.387709,491.477154,260.672301
1985,0.12,0.22,658.45752,5277.343971,7740.475027,5281.517612,501.602086,268.35083
1986,0.18,0.24,683.791743,5490.336051,7757.164345,5269.980727,529.712372,268.07845
1987,0.32,0.27,682.05471,5716.444405,7774.258505,5507.007371,557.029273,285.631779
1988,0.39,0.31,715.698883,6161.031731,7821.46603,5736.409032,579.966877,291.948032
1989,0.28,0.33,689.386072,6375.842008,7797.445907,5864.177196,579.460357,308.625859
1990,0.45,0.34,650.662505,6571.251543,8011.565262,5998.566451,583.122508,309.672332
